Age,Attrition,Department,EducationField,Gender,JobRole,MaritalStatus,NumCompaniesWorked,YearsAtCompany
34,No,Sales,Marketing,Male,Sales Executive,Single,0,9
37,No,Research & Development,Life Sciences,Male,Research Scientist,Married,4,1
46,No,Sales,Marketing,Male,Sales Executive,Single,4,9
35,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,1
48,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Single,9,1
28,Yes,Research & Development,Technical Degree,Male,Laboratory Technician,Single,1,2
44,No,Sales,Marketing,Female,Sales Executive,Divorced,5,4
35,No,Research & Development,Medical,Male,Healthcare Representative,Married,2,4
26,No,Sales,Marketing,Female,Sales Executive,Married,7,2
33,No,Research & Development,Life Sciences,Female,Research Director,Single,1,15
35,No,Sales,Life Sciences,Male,Sales Executive,Married,1,9
35,No,Research & Development,Medical,Female,Laboratory Technician,Married,3,2
31,No,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,3,7
37,No,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,1,7
32,No,Research & Development,Medical,Male,Manufacturing Director,Married,1,9
38,No,Research & Development,Life Sciences,Female,Laboratory Technician,Single,1,10
50,No,Research & Development,Medical,Female,Research Director,Divorced,5,27
59,No,Sales,Life Sciences,Female,Sales Executive,Single,7,21
36,No,Research & Development,Technical Degree,Female,Healthcare Representative,Divorced,1,17
55,No,Research & Development,Medical,Female,Manager,Divorced,2,5
36,No,Research & Development,Life Sciences,Male,Manufacturing Director,Single,1,6
45,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,2,1
35,No,Research & Development,Medical,Male,Research Scientist,Married,4,3
36,Yes,Research & Development,Medical,Male,Research Scientist,Married,0,1
59,No,Sales,Life Sciences,Female,Sales Executive,Single,7,4
29,No,Research & Development,Life Sciences,Male,Research Scientist,Married,0,5
31,No,Research & Development,Medical,Male,Research Scientist,Single,1,1
32,No,Research & Development,Life Sciences,Male,Research Scientist,Married,1,10
36,No,Research & Development,Life Sciences,Female,Laboratory Technician,Married,3,1
31,No,Research & Development,Life Sciences,Female,Manufacturing Director,Single,1,11
35,No,Sales,Marketing,Male,Sales Executive,Single,0,15
45,No,Research & Development,Other,Male,Research Director,Married,4,0
37,No,Research & Development,Medical,Male,Research Director,Single,4,5
46,No,Human Resources,Medical,Male,Human Resources,Divorced,8,4
30,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,10
35,No,Research & Development,Medical,Male,Research Scientist,Single,1,6
55,No,Sales,Life Sciences,Male,Sales Executive,Married,3,1
38,No,Research & Development,Medical,Female,Research Scientist,Divorced,7,13
34,No,Research & Development,Medical,Male,Manufacturing Director,Married,1,5
56,No,Research & Development,Life Sciences,Male,Manufacturing Director,Single,4,6
23,No,Sales,Technical Degree,Male,Sales Representative,Divorced,3,0
51,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,3,4
30,No,Research & Development,Life Sciences,Male,Healthcare Representative,Married,1,11
46,Yes,Sales,Medical,Male,Sales Executive,Single,1,9
40,No,Research & Development,Life Sciences,Male,Healthcare Representative,Married,1,22
51,No,Sales,Marketing,Male,Sales Executive,Single,0,10
30,No,Sales,Medical,Female,Sales Executive,Divorced,1,11
46,No,Research & Development,Medical,Male,Healthcare Representative,Married,2,10
32,No,Sales,Medical,Male,Sales Executive,Single,1,11
54,No,Research & Development,Technical Degree,Female,Research Director,Married,9,4
24,No,Sales,Other,Female,Sales Executive,Married,0,3
28,No,Sales,Medical,Male,Sales Executive,Married,1,5
58,No,Sales,Medical,Male,Sales Executive,Single,0,37
44,No,Research & Development,Medical,Male,Laboratory Technician,Married,4,3
37,Yes,Human Resources,Human Resources,Male,Human Resources,Divorced,4,3
32,No,Research & Development,Life Sciences,Male,Research Scientist,Single,1,1
20,Yes,Research & Development,Life Sciences,Female,Laboratory Technician,Single,1,1
34,No,Research & Development,Other,Female,Research Scientist,Single,1,16
37,No,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,5,1
59,No,Human Resources,Human Resources,Female,Manager,Married,9,3
50,No,Research & Development,Life Sciences,Female,Research Director,Married,3,8
25,Yes,Sales,Marketing,Male,Sales Executive,Single,1,6
25,No,Research & Development,Medical,Male,Research Scientist,Married,1,2
22,No,Research & Development,Medical,Female,Laboratory Technician,Single,1,0
51,No,Research & Development,Medical,Female,Healthcare Representative,Single,3,13
34,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Single,1,9
54,No,Human Resources,Human Resources,Female,Manager,Single,2,5
24,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,0,5
34,No,Research & Development,Life Sciences,Female,Research Scientist,Divorced,6,1
37,No,Sales,Life Sciences,Male,Sales Executive,Single,2,5
34,No,Research & Development,Medical,Female,Manager,Single,2,11
36,No,Sales,Technical Degree,Female,Sales Executive,Married,0,9
36,No,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,5,1
43,No,Sales,Life Sciences,Male,Manager,Married,1,25
30,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,1,10
33,No,Sales,Marketing,Male,Sales Executive,Married,0,7
56,Yes,Research & Development,Life Sciences,Female,Research Scientist,Married,9,5
51,No,Research & Development,Life Sciences,Male,Research Director,Single,7,20
31,Yes,Sales,Life Sciences,Male,Sales Executive,Married,4,7
26,No,Research & Development,Other,Female,Research Scientist,Married,1,5
58,Yes,Research & Development,Medical,Female,Healthcare Representative,Married,1,40
19,Yes,Sales,Marketing,Male,Sales Representative,Single,1,0
22,No,Research & Development,Technical Degree,Male,Laboratory Technician,Married,0,2
49,No,Research & Development,Medical,Female,Manufacturing Director,Married,1,15
43,No,Research & Development,Medical,Female,Research Scientist,Single,4,3
50,No,Sales,Marketing,Female,Sales Executive,Single,4,2
31,Yes,Sales,Life Sciences,Female,Sales Executive,Married,3,2
41,No,Sales,Life Sciences,Male,Sales Executive,Divorced,3,9
26,No,Human Resources,Life Sciences,Female,Human Resources,Married,1,8
36,No,Research & Development,Medical,Male,Manufacturing Director,Divorced,6,3
51,Yes,Research & Development,Life Sciences,Male,Manufacturing Director,Single,2,4
39,No,Sales,Life Sciences,Female,Sales Executive,Married,4,15
25,No,Sales,Life Sciences,Male,Sales Executive,Married,2,2
30,No,Human Resources,Human Resources,Male,Human Resources,Married,0,11
32,Yes,Research & Development,Medical,Female,Laboratory Technician,Single,7,5
45,No,Research & Development,Medical,Male,Research Scientist,Single,5,6
38,No,Research & Development,Technical Degree,Female,Research Scientist,Single,3,3
30,No,Research & Development,Life Sciences,Female,Research Scientist,Single,1,5
32,No,Sales,Medical,Male,Sales Executive,Divorced,0,8
30,No,Research & Development,Technical Degree,Female,Research Scientist,Divorced,5,3
30,No,Research & Development,Medical,Male,Laboratory Technician,Single,0,5
41,No,Research & Development,Life Sciences,Male,Manager,Divorced,4,7
41,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,2,5
19,No,Research & Development,Medical,Female,Laboratory Technician,Single,1,1
40,No,Research & Development,Medical,Female,Research Scientist,Divorced,1,20
35,No,Sales,Marketing,Male,Sales Executive,Married,1,10
53,No,Sales,Marketing,Male,Sales Representative,Married,2,7
45,No,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,8,17
32,No,Sales,Marketing,Female,Sales Executive,Single,1,9
29,No,Research & Development,Technical Degree,Male,Manufacturing Director,Married,1,10
51,No,Research & Development,Medical,Male,Manufacturing Director,Married,2,1
58,No,Research & Development,Medical,Female,Research Scientist,Married,4,1
40,No,Sales,Marketing,Male,Sales Executive,Married,7,12
34,No,Sales,Marketing,Female,Sales Representative,Married,6,4
22,No,Research & Development,Medical,Male,Research Scientist,Married,1,2
27,No,Research & Development,Medical,Male,Research Scientist,Divorced,6,2
28,No,Research & Development,Medical,Male,Research Scientist,Married,1,5
57,No,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,3,5
27,No,Research & Development,Medical,Male,Research Scientist,Divorced,1,1
50,No,Research & Development,Life Sciences,Female,Manager,Single,3,5
41,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,4,9
30,No,Sales,Life Sciences,Female,Sales Executive,Married,2,10
38,No,Sales,Life Sciences,Female,Sales Executive,Single,4,8
32,No,Research & Development,Life Sciences,Male,Research Scientist,Single,3,5
27,No,Research & Development,Technical Degree,Male,Research Scientist,Married,0,5
19,Yes,Sales,Technical Degree,Female,Sales Representative,Single,0,0
36,No,Research & Development,Medical,Male,Laboratory Technician,Single,4,8
30,No,Research & Development,Medical,Male,Laboratory Technician,Divorced,1,12
45,No,Sales,Life Sciences,Female,Sales Executive,Divorced,4,5
56,No,Research & Development,Life Sciences,Female,Research Scientist,Divorced,4,2
33,No,Research & Development,Life Sciences,Male,Research Scientist,Single,0,3
19,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Single,1,1
46,No,Sales,Marketing,Female,Sales Executive,Divorced,1,24
38,No,Research & Development,Life Sciences,Female,Laboratory Technician,Single,1,2
31,No,Research & Development,Medical,Female,Research Scientist,Married,8,4
34,No,Research & Development,Medical,Female,Research Scientist,Single,2,3
41,Yes,Sales,Marketing,Female,Sales Representative,Single,1,4
50,No,Research & Development,Medical,Male,Laboratory Technician,Married,2,3
53,No,Research & Development,Medical,Female,Manufacturing Director,Divorced,1,4
33,No,Research & Development,Medical,Female,Research Scientist,Married,1,8
40,No,Research & Development,Medical,Female,Manager,Married,1,20
55,No,Research & Development,Medical,Male,Research Director,Single,8,24
34,No,Research & Development,Life Sciences,Male,Manufacturing Director,Married,1,10
51,No,Research & Development,Medical,Female,Healthcare Representative,Single,3,7
52,No,Research & Development,Life Sciences,Male,Manager,Married,0,33
27,No,Research & Development,Medical,Female,Research Scientist,Single,1,7
35,Yes,Research & Development,Life Sciences,Male,Manufacturing Director,Married,3,1
43,No,Research & Development,Medical,Male,Research Scientist,Divorced,4,5
45,No,Research & Development,Medical,Male,Manager,Married,9,20
37,No,Research & Development,Life Sciences,Male,Research Scientist,Married,1,8
35,No,Research & Development,Medical,Female,Laboratory Technician,Single,5,6
42,No,Research & Development,Medical,Female,Manufacturing Director,Divorced,2,5
38,No,Research & Development,Life Sciences,Male,Manufacturing Director,Married,9,1
38,No,Research & Development,Technical Degree,Male,Manufacturing Director,Married,3,7
27,No,Research & Development,Technical Degree,Male,Manufacturing Director,Married,5,2
49,No,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,1,7
34,No,Research & Development,Medical,Male,Research Scientist,Divorced,1,5
40,No,Research & Development,Medical,Male,Laboratory Technician,Married,8,7
38,Yes,Research & Development,Medical,Male,Healthcare Representative,Married,7,1
29,Yes,Sales,Marketing,Female,Sales Executive,Married,1,10
22,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,1,4
36,No,Research & Development,Medical,Female,Laboratory Technician,Single,1,8
40,No,Research & Development,Life Sciences,Male,Healthcare Representative,Married,9,3
46,No,Research & Development,Medical,Male,Healthcare Representative,Divorced,7,4
32,Yes,Sales,Medical,Male,Sales Executive,Married,1,14
30,No,Research & Development,Life Sciences,Male,Manufacturing Director,Single,1,11
27,No,Sales,Life Sciences,Female,Sales Executive,Single,1,7
51,No,Research & Development,Life Sciences,Male,Research Director,Married,5,10
30,Yes,Research & Development,Technical Degree,Female,Research Scientist,Single,5,5
41,No,Sales,Life Sciences,Female,Manager,Single,3,1
30,Yes,Sales,Marketing,Female,Sales Executive,Single,5,6
29,Yes,Research & Development,Technical Degree,Male,Research Scientist,Single,0,6
45,No,Sales,Medical,Female,Sales Executive,Single,6,19
54,No,Sales,Marketing,Female,Sales Executive,Married,2,6
36,No,Research & Development,Life Sciences,Male,Laboratory Technician,Single,8,13
33,No,Research & Development,Medical,Female,Research Scientist,Married,6,3
37,No,Research & Development,Other,Male,Research Director,Divorced,1,10
38,No,Sales,Life Sciences,Male,Sales Executive,Divorced,0,16
31,No,Research & Development,Medical,Male,Manufacturing Director,Married,0,5
59,No,Research & Development,Life Sciences,Male,Research Scientist,Married,3,1
37,No,Sales,Marketing,Male,Sales Representative,Divorced,4,9
29,No,Sales,Medical,Female,Sales Executive,Married,1,11
35,No,Sales,Marketing,Female,Sales Executive,Single,1,10
29,Yes,Research & Development,Medical,Male,Research Scientist,Single,1,4
52,No,Research & Development,Life Sciences,Female,Laboratory Technician,Single,7,2
42,No,Research & Development,Technical Degree,Male,Manager,Married,1,22
59,No,Human Resources,Medical,Male,Human Resources,Married,8,2
50,No,Sales,Medical,Female,Manager,Divorced,3,7
33,Yes,Research & Development,Medical,Male,Laboratory Technician,Married,5,5
43,No,Sales,Marketing,Female,Manager,Married,5,17
33,Yes,Research & Development,Life Sciences,Female,Laboratory Technician,Married,7,9
52,No,Sales,Life Sciences,Male,Manager,Single,1,33
32,No,Sales,Life Sciences,Female,Sales Representative,Married,2,4
32,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Single,0,3
39,No,Research & Development,Medical,Female,Laboratory Technician,Divorced,7,3
32,No,Sales,Marketing,Male,Sales Executive,Married,0,3
41,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,2,1
40,No,Research & Development,Technical Degree,Male,Research Scientist,Divorced,1,9
45,No,Research & Development,Other,Male,Manager,Married,0,24
31,No,Research & Development,Medical,Male,Research Director,Divorced,9,2
33,No,Research & Development,Life Sciences,Female,Research Scientist,Married,1,2
34,No,Research & Development,Life Sciences,Male,Manufacturing Director,Married,6,11
37,No,Research & Development,Medical,Female,Research Scientist,Married,2,3
45,No,Research & Development,Life Sciences,Male,Manufacturing Director,Married,4,3
37,Yes,Research & Development,Medical,Male,Manufacturing Director,Divorced,6,1
39,No,Research & Development,Technical Degree,Female,Healthcare Representative,Single,0,19
29,No,Research & Development,Life Sciences,Male,Research Scientist,Single,1,6
42,No,Research & Development,Life Sciences,Female,Research Scientist,Single,3,3
29,No,Sales,Marketing,Male,Sales Executive,Divorced,2,3
25,No,Research & Development,Life Sciences,Female,Manufacturing Director,Married,0,4
42,No,Research & Development,Medical,Female,Laboratory Technician,Divorced,0,9
40,No,Research & Development,Medical,Male,Research Director,Divorced,0,21
51,No,Research & Development,Life Sciences,Male,Research Scientist,Married,1,1
31,Yes,Research & Development,Medical,Male,Laboratory Technician,Single,0,5
32,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,5
38,No,Sales,Life Sciences,Male,Sales Executive,Married,3,8
32,No,Research & Development,Technical Degree,Male,Laboratory Technician,Single,4,6
46,No,Sales,Technical Degree,Female,Manager,Married,3,7
28,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Single,2,0
29,No,Sales,Medical,Male,Sales Executive,Married,2,0
31,No,Research & Development,Medical,Male,Healthcare Representative,Married,0,9
25,No,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,1,6
45,No,Research & Development,Medical,Male,Healthcare Representative,Married,0,20
36,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,0,15
55,No,Research & Development,Medical,Male,Manager,Single,0,36
47,Yes,Research & Development,Life Sciences,Male,Manager,Married,1,10
28,No,Research & Development,Medical,Male,Research Scientist,Married,1,5
37,No,Sales,Medical,Male,Sales Executive,Married,4,5
21,No,Research & Development,Medical,Male,Research Scientist,Single,1,3
37,No,Research & Development,Medical,Female,Research Director,Divorced,2,5
35,No,Research & Development,Life Sciences,Female,Manager,Divorced,7,7
38,No,Sales,Medical,Female,Sales Executive,Divorced,1,8
26,No,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,1,6
50,No,Research & Development,Life Sciences,Male,Research Director,Divorced,3,10
53,No,Research & Development,Medical,Male,Research Director,Married,3,5
42,No,Sales,Life Sciences,Male,Sales Executive,Married,1,20
29,No,Sales,Life Sciences,Male,Sales Executive,Single,1,10
55,No,Research & Development,Technical Degree,Male,Laboratory Technician,Married,3,10
26,No,Research & Development,Medical,Male,Healthcare Representative,Married,1,5
37,No,Research & Development,Life Sciences,Female,Research Scientist,Single,1,17
44,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,3,1
38,No,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,9,2
26,Yes,Research & Development,Medical,Male,Laboratory Technician,Divorced,2,3
28,No,Research & Development,Life Sciences,Female,Research Scientist,Single,1,5
49,No,Research & Development,Life Sciences,Female,Research Director,Single,9,3
36,No,Research & Development,Technical Degree,Male,Research Scientist,Single,4,8
31,No,Sales,Marketing,Female,Sales Representative,Divorced,1,2
26,Yes,Sales,Marketing,Male,Sales Executive,Single,1,8
37,No,Research & Development,Medical,Male,Research Scientist,Married,1,4
42,No,Sales,Marketing,Female,Sales Executive,Married,5,20
18,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Single,1,0
35,No,Sales,Marketing,Male,Sales Executive,Married,0,11
36,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,4,1
51,No,Research & Development,Medical,Male,Manufacturing Director,Divorced,5,4
41,No,Sales,Life Sciences,Male,Manager,Single,1,22
18,No,Sales,Medical,Female,Sales Representative,Single,1,0
28,No,Research & Development,Medical,Male,Healthcare Representative,Single,0,8
31,No,Sales,Technical Degree,Male,Sales Executive,Married,4,8
39,No,Research & Development,Medical,Male,Healthcare Representative,Divorced,0,18
36,No,Research & Development,Life Sciences,Female,Laboratory Technician,Married,7,9
32,No,Sales,Life Sciences,Male,Sales Executive,Married,1,13
38,No,Research & Development,Life Sciences,Female,Research Director,Married,3,10
58,No,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,2,5
31,No,Research & Development,Technical Degree,Male,Research Scientist,Married,0,5
31,No,Human Resources,Human Resources,Male,Human Resources,Married,3,2
45,No,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,1,24
31,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,0,2
33,No,Research & Development,Life Sciences,Female,Manager,Married,6,10
39,No,Research & Development,Medical,Male,Manager,Married,1,21
43,No,Research & Development,Life Sciences,Female,Laboratory Technician,Single,0,8
49,No,Research & Development,Technical Degree,Female,Healthcare Representative,Single,7,7
52,Yes,Research & Development,Medical,Male,Research Scientist,Married,2,8
27,No,Research & Development,Life Sciences,Female,Research Scientist,Single,1,4
32,No,Sales,Technical Degree,Female,Sales Executive,Married,1,13
27,No,Sales,Life Sciences,Male,Sales Executive,Single,1,5
31,No,Sales,Marketing,Male,Sales Executive,Divorced,4,7
32,No,Research & Development,Medical,Female,Research Scientist,Single,7,7
28,Yes,Research & Development,Medical,Male,Research Scientist,Married,5,3
30,No,Research & Development,Medical,Female,Research Scientist,Married,1,10
31,No,Research & Development,Life Sciences,Female,Manufacturing Director,Married,1,10
39,No,Research & Development,Medical,Male,Manager,Married,1,21
39,Yes,Sales,Medical,Female,Sales Executive,Married,4,1
33,No,Sales,Marketing,Male,Sales Executive,Single,3,7
47,No,Research & Development,Life Sciences,Male,Research Director,Married,4,3
43,No,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,1,9
27,No,Sales,Marketing,Male,Sales Executive,Married,0,5
54,No,Research & Development,Life Sciences,Female,Research Scientist,Single,3,4
43,No,Research & Development,Life Sciences,Female,Healthcare Representative,Married,8,1
45,No,Research & Development,Other,Male,Research Scientist,Married,9,10
40,No,Sales,Medical,Male,Sales Executive,Married,2,4
29,Yes,Research & Development,Other,Male,Laboratory Technician,Married,1,7
29,No,Research & Development,Other,Male,Laboratory Technician,Single,0,3
30,No,Sales,Marketing,Female,Sales Executive,Divorced,1,10
27,No,Sales,Marketing,Female,Sales Executive,Married,1,8
37,No,Research & Development,Medical,Male,Manufacturing Director,Divorced,7,6
38,No,Research & Development,Life Sciences,Male,Research Director,Divorced,0,11
31,No,Research & Development,Medical,Female,Manufacturing Director,Single,1,11
29,No,Sales,Marketing,Female,Sales Executive,Divorced,1,7
35,No,Research & Development,Technical Degree,Male,Manufacturing Director,Single,0,16
23,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,1,4
41,No,Research & Development,Medical,Male,Manufacturing Director,Single,6,5
47,No,Sales,Medical,Male,Sales Representative,Single,3,0
42,No,Research & Development,Life Sciences,Female,Research Director,Single,2,1
29,No,Sales,Life Sciences,Male,Sales Executive,Married,1,4
42,No,Human Resources,Technical Degree,Male,Human Resources,Divorced,0,3
32,No,Research & Development,Medical,Female,Laboratory Technician,Married,1,8
48,No,Sales,Medical,Female,Manager,Married,3,0
37,No,Research & Development,Medical,Male,Research Scientist,Divorced,4,7
30,No,Sales,Technical Degree,Female,Sales Executive,Married,7,2
26,No,Sales,Life Sciences,Male,Sales Executive,Married,1,8
42,No,Research & Development,Other,Male,Healthcare Representative,Single,3,1
21,Yes,Sales,Technical Degree,Female,Sales Representative,Single,1,3
36,No,Sales,Medical,Female,Sales Executive,Single,4,1
36,No,Sales,Medical,Male,Sales Executive,Married,4,13
57,No,Research & Development,Medical,Male,Healthcare Representative,Married,2,3
40,No,Research & Development,Life Sciences,Female,Laboratory Technician,Married,3,7
21,No,Sales,Medical,Male,Sales Representative,Single,1,3
33,Yes,Sales,Marketing,Female,Sales Representative,Single,1,1
37,No,Research & Development,Medical,Female,Laboratory Technician,Married,6,5
46,No,Research & Development,Medical,Female,Manufacturing Director,Married,2,1
41,Yes,Sales,Marketing,Male,Sales Executive,Single,1,8
50,No,Research & Development,Technical Degree,Male,Healthcare Representative,Single,6,4
40,Yes,Sales,Marketing,Male,Sales Executive,Married,2,6
31,No,Research & Development,Life Sciences,Male,Research Scientist,Single,0,2
21,Yes,Sales,Life Sciences,Female,Sales Representative,Single,1,1
29,No,Research & Development,Life Sciences,Male,Research Scientist,Single,9,3
35,No,Research & Development,Life Sciences,Male,Healthcare Representative,Single,9,1
27,No,Research & Development,Medical,Male,Laboratory Technician,Divorced,1,5
28,No,Sales,Life Sciences,Male,Sales Executive,Single,1,7
49,No,Research & Development,Other,Male,Healthcare Representative,Single,8,5
51,No,Sales,Life Sciences,Female,Sales Executive,Married,4,7
36,No,Research & Development,Life Sciences,Female,Research Scientist,Married,4,2
34,Yes,Sales,Marketing,Male,Sales Executive,Single,8,5
55,No,Research & Development,Life Sciences,Female,Manager,Single,2,5
24,No,Sales,Marketing,Female,Sales Executive,Divorced,1,5
30,No,Sales,Technical Degree,Male,Sales Representative,Married,1,1
26,Yes,Research & Development,Technical Degree,Male,Research Scientist,Single,0,6
22,No,Research & Development,Medical,Female,Research Scientist,Married,1,2
36,No,Sales,Medical,Male,Sales Executive,Married,1,10
30,Yes,Research & Development,Technical Degree,Male,Research Scientist,Single,9,1
37,No,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,1,18
40,No,Sales,Marketing,Female,Sales Executive,Divorced,7,5
42,No,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,3,5
37,No,Research & Development,Life Sciences,Male,Manufacturing Director,Single,2,1
43,No,Research & Development,Life Sciences,Male,Research Director,Divorced,1,25
40,No,Research & Development,Medical,Female,Laboratory Technician,Married,6,1
54,No,Research & Development,Medical,Male,Research Director,Married,4,4
34,No,Sales,Marketing,Female,Sales Executive,Married,9,3
31,No,Research & Development,Medical,Female,Manufacturing Director,Married,1,13
43,No,Research & Development,Medical,Male,Laboratory Technician,Married,7,3
43,No,Research & Development,Other,Female,Healthcare Representative,Divorced,4,5
25,No,Sales,Life Sciences,Female,Sales Executive,Single,1,5
37,No,Research & Development,Medical,Female,Research Scientist,Married,3,13
31,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,4
39,No,Research & Development,Life Sciences,Male,Manager,Divorced,1,21
56,No,Sales,Life Sciences,Female,Sales Executive,Married,9,7
30,No,Sales,Technical Degree,Female,Sales Executive,Single,0,5
41,No,Sales,Marketing,Male,Sales Executive,Married,1,10
28,No,Research & Development,Medical,Male,Laboratory Technician,Divorced,1,10
25,Yes,Research & Development,Medical,Male,Laboratory Technician,Married,5,2
52,No,Research & Development,Medical,Male,Manufacturing Director,Married,2,5
45,No,Research & Development,Life Sciences,Male,Research Scientist,Married,3,2
52,No,Research & Development,Life Sciences,Female,Manager,Married,2,5
42,No,Research & Development,Life Sciences,Female,Research Scientist,Divorced,2,5
30,No,Research & Development,Life Sciences,Female,Manufacturing Director,Single,2,5
60,No,Research & Development,Life Sciences,Female,Manager,Married,5,29
46,No,Research & Development,Medical,Female,Manufacturing Director,Divorced,2,10
42,No,Research & Development,Technical Degree,Female,Healthcare Representative,Married,0,6
24,Yes,Sales,Technical Degree,Female,Sales Representative,Single,1,5
34,Yes,Sales,Marketing,Female,Sales Representative,Divorced,0,2
38,No,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1,1
40,No,Sales,Life Sciences,Female,Manager,Married,0,20
